team,champion_count,championship_probability
Spain,1318,13.18
Argentina,1316,13.16
France,1057,10.57
Brazil,500,5.0
England,491,4.91
Portugal,458,4.58
Colombia,432,4.32
Netherlands,412,4.12
Japan,382,3.82
Germany,377,3.77
Mexico,276,2.76
Morocco,257,2.57
Ecuador,246,2.46
Italy,228,2.28
Croatia,221,2.21
Uruguay,183,1.83
Senegal,177,1.77
Belgium,163,1.63
South Korea,156,1.56
Canada,140,1.4
Turkey,137,1.37
United States,134,1.34
Iran,120,1.2
Denmark,112,1.12
Australia,104,1.04
Algeria,93,0.93
Uzbekistan,74,0.74
Ukraine,69,0.69
Paraguay,68,0.68
Nigeria,59,0.59
Poland,38,0.38
Venezuela,37,0.37
Chile,28,0.28
Jordan,26,0.26
Slovenia,20,0.2
Costa Rica,20,0.2
Peru,19,0.19
Saudi Arabia,14,0.14
Cameroon,11,0.11
Cape Verde Islands,6,0.06
New Zealand,6,0.06
Bolivia,5,0.05
Honduras,4,0.04
Curacao,2,0.02
Haiti,2,0.02
China,1,0.01
Kenya,1,0.01
