team,elo_rating
Aden,1443.756
Afghanistan,1250.731
Albania,1630.742
Algeria,1792.404
Andorra,1184.88
Angola,1602.854
Anguilla,1121.716
Antigua and Barbuda,1251.883
Argentina,2039.657
Armenia,1444.25
Aruba,1254.864
Australia,1808.278
Austria,1802.011
Azerbaijan,1426.51
Bahamas,1126.94
Bahrain,1539.528
Bangladesh,1212.299
Barbados,1226.14
Belarus,1519.092
Belgian Congo,1485.73
Belgium,1842.695
Belize,1325.976
Benin,1526.038
Bermuda,1357.892
Bhutan,1013.759
Bohemia,1477.968
Bohemia and Moravia,1518.856
Bolivia,1640.171
Bonaire,1248.047
Bosnia-Herzegovina,1613.575
Botswana,1418.91
Brazil,1938.477
British Guiana,1368.715
British Honduras,1507.283
British India,1495.156
British Virgin Islands,1107.305
Brunei,1035.658
Bulgaria,1525.167
Burkina Faso,1628.013
Burma,1435.583
Burundi,1402.449
Cambodia,1159.548
Cameroon,1675.077
Canada,1808.404
Cape Verde Islands,1624.579
Cayman Islands,1220.311
Central African Republic,1373.092
Ceylon,1301.283
Chad,1272.882
Chagos Islands,1487.286
Chile,1718.495
China,1554.403
Colombia,1920.392
Comm of Indep States,1549.261
Comoros,1468.908
Congo,1379.408
Congo-Leopoldville,1502.797
Cook Islands,1294.459
Costa Rica,1695.162
Croatia,1876.509
Cuba,1422.175
Curaçao,1537.008
Cyprus,1394.758
Czech Republic,1735.43
Czechoslovakia,1700.099
DR Congo,1685.796
Dahomey,1481.021
Denmark,1826.816
Djibouti,1167.754
Dominica,1243.549
Dominican Republic,1476.687
Dutch East Indies,1473.251
East Germany,1686.752
East Timor,1018.589
Eastern Samoa,1147.856
Ecuador,1880.962
Egypt,1761.338
El Salvador,1496.265
England,1933.706
Equatorial Guinea,1534.972
Eritrea,1336.405
Estonia,1416.995
Eswatini,1308.663
Ethiopia,1439.095
FS Micronesia,1442.758
Falkland Islands,1482.407
Faroe Islands,1403.815
Fiji,1478.402
Finland,1568.477
France,1993.681
French Congo,1509.545
French Dahomey,1484.568
French Guiana,1417.683
French Somaliland,1433.731
French Sudan,1476.203
French Togoland,1527.26
Gabon,1533.454
Gambia,1499.257
Georgia,1632.535
Germany,1915.512
Ghana,1577.75
Gibraltar,1176.724
Gold Coast,1526.648
Greece,1730.159
Greenland,1325.186
Grenada,1345.046
Guadeloupe,1511.105
Guam,1152.601
Guatemala,1602.732
Guinea,1533.683
Guinea-Bissau,1399.291
Guyana,1467.147
Haiti,1615.976
Honduras,1641.474
Hong Kong,1352.75
Hungary,1730.59
Iceland,1574.494
India,1360.688
Indonesia,1484.533
Iran,1807.726
Iraq,1708.126
