team,fifa_rank,fifa_points
Afghanistan,155,1025.0
Albania,65,1375.57
Algeria,37,1495.85
American Samoa,188,883.17
Andorra,171,971.54
Angola,85,1296.48
Anguilla,209,769.31
Antigua and Barbuda,160,1010.97
Aotearoa New Zealand,89,1269.83
Argentina,1,1867.25
Armenia,100,1219.15
Aruba,195,858.0
Australia,26,1544.15
Austria,22,1589.84
Azerbaijan,117,1158.7
Bahamas,205,818.58
Bahrain,81,1305.52
Bangladesh,185,898.81
Barbados,177,933.3
Belarus,98,1226.31
Belgium,8,1740.62
Belize,178,925.02
Benin,94,1250.99
Bermuda,166,988.19
Bhutan,182,904.06
Bolivia,79,1308.58
Bosnia-Herzegovina,74,1326.69
Botswana,136,1098.85
Brazil,5,1775.85
British Virgin Islands,207,780.3
Brunei Darussalam,184,899.87
Bulgaria,82,1301.04
Burkina Faso,66,1373.76
Burundi,139,1087.26
Cabo Verde,72,1328.51
Cambodia,180,921.2
Cameroon,49,1471.49
Canada,31,1515.96
Cape Verde Islands,76,1319.0
Cayman Islands,194,866.71
Central African Republic,135,1102.23
Chad,176,935.41
Chile,50,1469.44
China,90,1266.38
Chinese Taipei,165,990.92
Colombia,12,1694.44
Comoros,103,1208.99
Congo,128,1132.65
Congo DR,61,1395.77
Cook Islands,190,877.53
Costa Rica,54,1454.99
Croatia,13,1691.59
Cuba,164,994.43
Curacao,79,1302.0
Curaçao,91,1264.78
Cyprus,130,1131.32
Czech Republic,42,1484.88
Czechoslovakia,19,49.0
Côte d'Ivoire,46,1478.47
Denmark,21,1611.49
Djibouti,191,877.37
Dominica,183,900.0
Dominican Republic,141,1083.36
Ecuador,24,1560.13
Egypt,33,1513.48
El Salvador,83,1300.81
England,4,1813.81
Equatorial Guinea,93,1256.2
Eritrea,195,855.56
Estonia,123,1142.53
Eswatini,159,1015.25
Ethiopia,146,1059.94
FYR Macedonia,68,1343.0
Faroe Islands,137,1096.88
Fiji,147,1049.15
Finland,69,1361.53
France,2,1859.78
Gabon,84,1297.87
Gambia,124,1137.22
Georgia,68,1362.21
Germany,10,1703.79
Ghana,77,1320.52
Gibraltar,197,848.58
Greece,39,1489.88
Grenada,174,955.44
Guam,203,821.91
Guatemala,105,1201.35
Guinea,78,1311.88
Guinea-Bissau,120,1151.72
Guyana,154,1030.6
Haiti,86,1287.75
Honduras,75,1325.93
Hong Kong,146,1062.39
"Hong Kong, China",156,1024.58
Hungary,30,1517.57
Iceland,70,1355.1
India,127,1133.62
Indonesia,125,1135.11
Iran,18,1635.31
Iraq,56,1442.86
Ireland,60,1400.22
Israel,76,1322.25
Italy,9,1731.51
Jamaica,62,1390.85
Japan,15,1652.79
Jordan,64,1375.91
Kazakhstan,110,1180.18
Kenya,108,1189.65
Kosovo,99,1219.82
Kuwait,134,1109.16
Kyrgyz Republic,107,1194.19
Laos,186,889.54
Latvia,140,1084.11
Lebanon,112,1168.1
Lesotho,150,1046.76
Liberia,145,1063.04
Libya,118,1158.03
Liechtenstein,204,821.71
Lithuania,142,1069.96
Luxembourg,92,1256.42
Macau,193,871.52
