team,form_score,goals_scored_avg,goals_conceded_avg,win_pct,total_matches
Aden,0.0,0.75,6.25,0.0,4
Afghanistan,5.0,0.939,2.006,0.227,163
Albania,6.0,0.958,1.475,0.2833,406
Algeria,10.0,1.546,1.012,0.458,679
Andorra,1.0,0.328,2.358,0.0611,229
Angola,8.0,1.195,1.015,0.3676,457
Anguilla,9.0,0.644,3.5,0.1441,118
Antigua and Barbuda,2.0,1.399,1.73,0.3381,281
Argentina,15.0,1.897,1.022,0.5493,1105
Armenia,0.0,0.996,1.911,0.2357,280
Aruba,10.0,1.449,2.254,0.2537,205
Australia,6.0,2.03,1.095,0.5175,630
Austria,13.0,1.801,1.523,0.4294,864
Azerbaijan,4.0,0.817,1.683,0.205,322
Bahamas,0.0,1.011,3.258,0.191,89
Bahrain,6.0,1.232,1.273,0.3546,626
Bangladesh,5.0,0.892,1.788,0.2615,325
Barbados,3.0,1.279,1.659,0.3062,369
Belarus,8.0,1.12,1.445,0.299,301
Belgian Congo,3.0,1.75,2.5,0.25,4
Belgium,11.0,1.825,1.551,0.4452,876
Belize,6.0,1.063,1.913,0.2441,127
Benin,9.0,0.936,1.654,0.2407,295
Bermuda,0.0,1.571,1.773,0.3305,233
Bhutan,3.0,0.593,3.619,0.1062,113
Bohemia,4.0,2.143,3.429,0.1429,7
Bohemia and Moravia,6.0,3.286,3.571,0.1429,7
Bolivia,7.0,1.028,1.963,0.2276,536
Bonaire,3.0,1.137,2.48,0.2353,102
Bosnia-Herzegovina,7.0,1.387,1.376,0.3692,279
Botswana,3.0,0.802,1.291,0.2627,354
Brazil,10.0,2.157,0.896,0.6307,1067
British Guiana,5.0,1.079,1.78,0.2622,164
British Honduras,4.0,1.5,1.0,0.5,2
British India,6.0,2.714,2.857,0.2857,7
British Virgin Islands,10.0,0.92,2.891,0.1667,138
Brunei,3.0,0.788,3.212,0.1788,151
Bulgaria,9.0,1.381,1.485,0.3632,771
Burkina Faso,7.0,1.217,1.193,0.3679,405
