date,semester,rank,team,acronym,total_points,previous_points,diff_points
1992,2,85,Albania,ALB,14.0,0.0,14.0
1992,2,29,Algeria,ALG,39.0,0.0,39.0
1992,2,98,Angola,ANG,10.0,0.0,10.0
1992,2,108,Antigua and Barbuda,ATG,8.0,0.0,8.0
1992,2,10,Argentina,ARG,51.0,0.0,51.0
1992,2,149,Aruba,ARU,0.0,0.0,0.0
1992,2,45,Australia,AUS,29.0,0.0,29.0
1992,2,31,Austria,AUT,38.0,0.0,38.0
1992,2,149,Bahamas,BAH,0.0,0.0,0.0
1992,2,88,Bahrain,BHR,13.0,0.0,13.0
1992,2,130,Bangladesh,BAN,3.0,0.0,3.0
1992,2,110,Barbados,BRB,7.0,0.0,7.0
1992,2,142,Belarus,BLR,1.0,0.0,1.0
1992,2,16,Belgium,BEL,48.0,0.0,48.0
1992,2,125,Benin,BEN,4.0,0.0,4.0
1992,2,57,Bermuda,BER,25.0,0.0,25.0
1992,2,85,Bolivia,BOL,14.0,0.0,14.0
1992,2,135,Botswana,BOT,2.0,0.0,2.0
1992,2,3,Brazil,BRA,56.0,0.0,56.0
1992,2,135,Brunei Darussalam,BRU,2.0,0.0,2.0
1992,2,26,Bulgaria,BUL,41.0,0.0,41.0
1992,2,96,Burkina Faso,BFA,11.0,0.0,11.0
1992,2,98,Burundi,BDI,10.0,0.0,10.0
1992,2,22,Cameroon,CMR,43.0,0.0,43.0
1992,2,57,Canada,CAN,25.0,0.0,25.0
1992,2,130,Cape Verde Islands,CPV,3.0,0.0,3.0
1992,2,142,Central African Republic,CTA,1.0,0.0,1.0
1992,2,149,Chad,CHA,0.0,0.0,0.0
1992,2,47,Chile,CHI,28.0,0.0,28.0
1992,2,56,China,CHN,26.0,0.0,26.0
1992,2,149,Chinese Taipei,TPE,0.0,0.0,0.0
1992,2,35,Colombia,COL,36.0,0.0,36.0
1992,2,88,Congo,CGO,13.0,0.0,13.0
1992,2,37,Costa Rica,CRC,35.0,0.0,35.0
1992,2,110,Croatia,CRO,7.0,0.0,7.0
1992,2,142,Cuba,CUB,1.0,0.0,1.0
1992,2,72,Cyprus,CYP,20.0,0.0,20.0
1992,2,18,Czechoslovakia,TCH,47.0,0.0,47.0
1992,2,26,Côte d'Ivoire,CIV,41.0,0.0,41.0
1992,2,8,Denmark,DEN,52.0,0.0,52.0
1992,2,135,Dominican Republic,DOM,2.0,0.0,2.0
1992,2,64,Ecuador,ECU,23.0,0.0,23.0
1992,2,21,Egypt,EGY,45.0,0.0,45.0
1992,2,47,El Salvador,SLV,28.0,0.0,28.0
1992,2,5,England,ENG,55.0,0.0,55.0
1992,2,149,Equatorial Guinea,EQG,0.0,0.0,0.0
1992,2,130,Estonia,EST,3.0,0.0,3.0
1992,2,98,Eswatini,SWZ,10.0,0.0,10.0
1992,2,85,Ethiopia,ETH,14.0,0.0,14.0
1992,2,92,Faroe Islands,FRO,12.0,0.0,12.0
1992,2,104,Fiji,FIJ,9.0,0.0,9.0
1992,2,42,Finland,FIN,31.0,0.0,31.0
1992,2,19,France,FRA,46.0,0.0,46.0
1992,2,51,Gabon,GAB,27.0,0.0,27.0
1992,2,142,Gambia,GAM,1.0,0.0,1.0
1992,2,1,Germany,GER,57.0,0.0,57.0
1992,2,39,Ghana,GHA,34.0,0.0,34.0
1992,2,31,Greece,GRE,38.0,0.0,38.0
1992,2,118,Grenada,GRN,5.0,0.0,5.0
1992,2,80,Guatemala,GUA,15.0,0.0,15.0
1992,2,61,Guinea,GUI,24.0,0.0,24.0
1992,2,114,Guinea-Bissau,GNB,6.0,0.0,6.0
1992,2,125,Guyana,GUY,4.0,0.0,4.0
1992,2,125,Haiti,HAI,4.0,0.0,4.0
1992,2,40,Honduras,HON,32.0,0.0,32.0
1992,2,118,Hong Kong,HKG,5.0,0.0,5.0
1992,2,35,Hungary,HUN,36.0,0.0,36.0
1992,2,45,Iceland,ISL,29.0,0.0,29.0
1992,2,135,India,IND,2.0,0.0,2.0
1992,2,104,Indonesia,IDN,9.0,0.0,9.0
1992,2,61,Iran,IRN,24.0,0.0,24.0
1992,2,80,Iraq,IRQ,15.0,0.0,15.0
1992,2,6,Ireland,IRL,54.0,0.0,54.0
1992,2,64,Israel,ISR,23.0,0.0,23.0
1992,2,1,Italy,ITA,57.0,0.0,57.0
1992,2,66,Jamaica,JAM,22.0,0.0,22.0
1992,2,66,Japan,JPN,22.0,0.0,22.0
1992,2,108,Jordan,JOR,8.0,0.0,8.0
1992,2,76,Kenya,KEN,17.0,0.0,17.0
1992,2,71,Kuwait,KUW,21.0,0.0,21.0
1992,2,98,Latvia,LVA,10.0,0.0,10.0
1992,2,149,Lebanon,LBN,0.0,0.0,0.0
1992,2,135,Lesotho,LES,2.0,0.0,2.0
1992,2,80,Liberia,LBR,15.0,0.0,15.0
1992,2,135,Libya,LBY,2.0,0.0,2.0
1992,2,149,Liechtenstein,LIE,0.0,0.0,0.0
1992,2,92,Lithuania,LTU,12.0,0.0,12.0
1992,2,98,Luxembourg,LUX,10.0,0.0,10.0
1992,2,74,Madagascar,MAD,18.0,0.0,18.0
1992,2,51,Malawi,MWI,27.0,0.0,27.0
1992,2,88,Malaysia,MAS,13.0,0.0,13.0
1992,2,149,Maldives,MDV,0.0,0.0,0.0
1992,2,66,Mali,MLI,22.0,0.0,22.0
1992,2,73,Malta,MLT,19.0,0.0,19.0
1992,2,130,Mauritania,MTN,3.0,0.0,3.0
1992,2,110,Mauritius,MRI,7.0,0.0,7.0
1992,2,22,Mexico,MEX,43.0,0.0,43.0
1992,2,40,Morocco,MAR,32.0,0.0,32.0
1992,2,104,Mozambique,MOZ,9.0,0.0,9.0
1992,2,149,Myanmar,MYA,0.0,0.0,0.0
1992,2,149,Namibia,NAM,0.0,0.0,0.0
1992,2,142,Nepal,NEP,1.0,0.0,1.0
1992,2,6,Netherlands,NED,54.0,0.0,54.0
1992,2,66,New Zealand,NZL,22.0,0.0,22.0
1992,2,149,Nicaragua,NCA,0.0,0.0,0.0
1992,2,80,Niger,NIG,15.0,0.0,15.0
1992,2,13,Nigeria,NGA,50.0,0.0,50.0
1992,2,77,North Korea,PRK,16.0,0.0,16.0
1992,2,42,Northern Ireland,NIR,31.0,0.0,31.0
1992,2,14,Norway,NOR,49.0,0.0,49.0
1992,2,114,Oman,OMA,6.0,0.0,6.0
1992,2,142,Pakistan,PAK,1.0,0.0,1.0
1992,2,118,Panama,PAN,5.0,0.0,5.0
1992,2,66,Paraguay,PAR,22.0,0.0,22.0
1992,2,77,Peru,PER,16.0,0.0,16.0
1992,2,149,Philippines,PHI,0.0,0.0,0.0
1992,2,19,Poland,POL,46.0,0.0,46.0
1992,2,31,Portugal,POR,38.0,0.0,38.0
1992,2,118,Puerto Rico,PUR,5.0,0.0,5.0
1992,2,51,Qatar,QAT,27.0,0.0,27.0
1992,2,10,Romania,ROU,51.0,0.0,51.0
1992,2,8,Russia,RUS,52.0,0.0,52.0
1992,2,149,Rwanda,RWA,0.0,0.0,0.0
1992,2,114,Saint Lucia,LCA,6.0,0.0,6.0
1992,2,104,Saint Vincent and the Grenadines,VIN,9.0,0.0,9.0
