current,former,start_date,end_date
Egypt,United Arab Republic,1958-02-22,1971-09-11
Guinea-Bissau,Portuguese Guinea,1953-06-02,1973-09-24
Serbia,FR Yugoslavia,1994-12-23,2003-02-03
Serbia,Serbia and Montenegro,2003-02-04,2006-06-21
Burkina Faso,Upper Volta,1960-04-14,1984-08-04
DR Congo,Congo-Léopoldville,1963-04-12,1964-07-19
DR Congo,Congo-Kinshasa,1965-01-09,1970-11-24
Eswatini,Swaziland,1968-05-01,2018-04-19
Malawi,Nyasaland,1957-08-28,1964-07-04
Malaysia,Malaya,1948-06-20,1963-08-16
Vanuatu,New Hebrides,1951-10-04,1980-07-30
DR Congo,Belgian Congo,1948-05-25,1956-01-02
Djibouti,French Somaliland,1947-12-05,1977-06-27
Guyana,British Guiana,1905-07-21,1967-08-02
Russia,Soviet Union,1924-11-16,1991-11-13
Curaçao,Netherlands Antilles,1957-03-03,2010-10-10
DR Congo,Zaïre,1971-01-10,1997-04-27
Indonesia,Dutch East Indies,1934-05-13,1951-03-04
Russia,CIS,1992-01-25,1992-06-18
Sri Lanka,Ceylon,1952-03-24,1972-05-22
Czechoslovakia,Representation of Czechs and Slovaks,1993-03-24,1993-11-17
Ghana,Gold Coast,1950-05-28,1957-03-06
North Macedonia,Macedonia,1993-10-13,2018-11-19
Tanzania,Tanganyika,1945-01-01,1964-04-26
Benin,Dahomey,1959-11-08,1975-11-30
Israel,Mandatory Palestine,1934-03-16,1940-04-27
Myanmar,Burma,1952-03-14,1989-01-01
Northern Ireland,Ireland,1882-02-18,1956-04-11
Samoa,Western Samoa,1979-08-31,1996-11-15
Czechoslovakia,Bohemia,1903-04-05,1919-01-01
Czechoslovakia,Bohemia and Moravia,1939-01-01,1945-05-01
Republic of Ireland,Irish Free State,1924-05-28,1936-12-06
Republic of Ireland,Éire,1937-01-01,1953-03-25
Suriname,Dutch Guyana,1921-01-28,1975-11-25
Zambia,Northern Rhodesia,1947-02-22,1964-10-25
Zimbabwe,Southern Rhodesia,1946-06-16,1980-04-18
